,Date,Time,CO(GT),C6H6(GT),NOx(GT),NO2(GT)
210,3/19/04,12:00:00,2.8,14.0,192,127
211,3/19/04,13:00:00,3.0,15.3,176,122
212,3/19/04,14:00:00,3.3,16.7,198,135
213,3/19/04,15:00:00,3.5,19.0,212,139
214,3/19/04,16:00:00,4.0,19.4,249,147
215,3/19/04,17:00:00,4.6,20.9,270,158
216,3/19/04,18:00:00,4.1,20.2,231,146
217,3/19/04,19:00:00,4.5,21.7,251,144
218,3/19/04,20:00:00,3.9,19.8,210,138
219,3/19/04,21:00:00,4.0,16.7,249,143
220,3/19/04,22:00:00,2.2,9.1,143,116
221,3/19/04,23:00:00,2.1,8.3,127,109
222,3/20/04,0:00:00,1.7,5.8,104,92
223,3/20/04,1:00:00,1.6,5.2,86,83
224,3/20/04,2:00:00,1.3,4.1,74,81
225,3/20/04,3:00:00,1.3,3.4,-200,-200
226,3/20/04,4:00:00,-200.0,2.9,44,55
227,3/20/04,5:00:00,0.8,3.1,42,53
228,3/20/04,6:00:00,0.8,2.5,63,67
229,3/20/04,7:00:00,1.1,4.3,115,91
230,3/20/04,8:00:00,2.1,8.9,170,113
231,3/20/04,9:00:00,2.4,10.5,147,102
232,3/20/04,10:00:00,2.6,12.5,166,107
233,3/20/04,11:00:00,2.8,12.3,195,113
234,3/20/04,12:00:00,2.6,11.7,182,108
235,3/20/04,13:00:00,2.6,11.7,168,105
236,3/20/04,14:00:00,2.1,9.3,125,93
237,3/20/04,15:00:00,1.7,7.6,95,87
238,3/20/04,16:00:00,1.6,6.7,79,76
239,3/20/04,17:00:00,2.1,9.7,119,94
240,3/20/04,18:00:00,2.3,12.4,142,110
241,3/20/04,19:00:00,3.5,16.6,215,136
242,3/20/04,20:00:00,3.9,16.4,229,139
243,3/20/04,21:00:00,3.3,13.7,206,125
244,3/20/04,22:00:00,2.3,9.9,147,111
245,3/20/04,23:00:00,2.1,8.9,122,97
246,3/21/04,0:00:00,2.8,10.6,175,107
247,3/21/04,1:00:00,2.1,7.4,133,90
248,3/21/04,2:00:00,1.6,6.2,89,84
249,3/21/04,3:00:00,1.6,6.5,-200,-200
250,3/21/04,4:00:00,-200.0,5.8,85,87
251,3/21/04,5:00:00,1.1,4.0,55,66
252,3/21/04,6:00:00,0.7,2.1,24,36
253,3/21/04,7:00:00,0.8,3.6,72,62
254,3/21/04,8:00:00,1.2,4.4,122,91
255,3/21/04,9:00:00,1.4,5.4,111,89
256,3/21/04,10:00:00,1.7,7.1,123,93
257,3/21/04,11:00:00,1.8,7.3,106,81
258,3/21/04,12:00:00,1.8,7.6,103,82
259,3/21/04,13:00:00,1.9,6.8,102,80
260,3/21/04,14:00:00,1.3,4.6,48,48
261,3/21/04,15:00:00,1.6,8.4,63,61
262,3/21/04,16:00:00,1.9,6.9,98,89
263,3/21/04,17:00:00,2.3,9.0,132,105
264,3/21/04,18:00:00,3.8,15.1,173,116
265,3/21/04,19:00:00,3.5,12.6,185,119
266,3/21/04,20:00:00,4.3,15.1,266,144
267,3/21/04,21:00:00,2.8,9.9,188,123
268,3/21/04,22:00:00,1.9,8.0,122,105
269,3/21/04,23:00:00,1.9,7.9,112,93
270,3/22/04,0:00:00,1.7,6.1,93,86
271,3/22/04,1:00:00,1.5,5.1,74,76
272,3/22/04,2:00:00,0.6,1.7,23,33
273,3/22/04,3:00:00,0.4,0.7,-200,-200
274,3/22/04,4:00:00,-200.0,0.8,17,27
275,3/22/04,5:00:00,0.3,0.7,15,23
276,3/22/04,6:00:00,0.6,2.0,41,46
277,3/22/04,7:00:00,1.2,5.1,86,76
278,3/22/04,8:00:00,3.6,17.7,226,116
279,3/22/04,9:00:00,3.7,18.4,214,115
280,3/22/04,10:00:00,1.8,6.9,115,83
281,3/22/04,11:00:00,1.6,7.3,124,87
282,3/22/04,12:00:00,1.9,9.6,122,90
283,3/22/04,13:00:00,2.0,10.4,107,87
284,3/22/04,14:00:00,2.2,11.2,133,99
285,3/22/04,15:00:00,2.1,10.7,130,99
286,3/22/04,16:00:00,2.3,11.6,150,101
287,3/22/04,17:00:00,2.6,12.4,138,103
288,3/22/04,18:00:00,3.8,18.3,213,129
289,3/22/04,19:00:00,4.4,21.0,232,143
290,3/22/04,20:00:00,4.5,21.0,238,146
291,3/22/04,21:00:00,3.3,14.5,180,124
292,3/22/04,22:00:00,2.0,8.4,128,113
293,3/22/04,23:00:00,1.1,4.3,65,80
294,3/23/04,0:00:00,0.9,3.8,53,72
295,3/23/04,1:00:00,0.8,2.7,47,64
296,3/23/04,2:00:00,0.7,2.5,51,70
297,3/23/04,3:00:00,0.5,1.2,-200,-200
298,3/23/04,4:00:00,-200.0,0.8,20,31
299,3/23/04,5:00:00,0.3,0.6,13,22
300,3/23/04,6:00:00,0.5,1.8,33,47
301,3/23/04,7:00:00,1.1,4.6,103,88
302,3/23/04,8:00:00,3.0,14.2,224,130
303,3/23/04,9:00:00,3.8,21.0,244,132
304,3/23/04,10:00:00,3.4,16.2,237,132
305,3/23/04,11:00:00,3.0,15.5,220,131
306,3/23/04,12:00:00,2.7,13.4,207,129
307,3/23/04,13:00:00,3.5,16.9,208,132
308,3/23/04,14:00:00,2.8,12.4,160,110
309,3/23/04,15:00:00,1.9,10.1,131,99
310,3/23/04,16:00:00,2.0,8.7,128,100
311,3/23/04,17:00:00,3.0,13.8,176,122
312,3/23/04,18:00:00,1.9,9.3,107,97
313,3/23/04,19:00:00,2.7,13.0,131,112
314,3/23/04,20:00:00,3.3,14.3,166,128
315,3/23/04,21:00:00,1.7,7.6,89,101
316,3/23/04,22:00:00,1.3,5.3,81,96
317,3/23/04,23:00:00,1.3,5.4,78,86
318,3/24/04,0:00:00,1.2,4.9,70,85
319,3/24/04,1:00:00,1.1,4.6,76,79
320,3/24/04,2:00:00,0.9,2.7,43,61
321,3/24/04,3:00:00,0.6,1.6,-200,-200
322,3/24/04,4:00:00,-200.0,1.7,44,66
323,3/24/04,5:00:00,0.6,1.2,34,54
324,3/24/04,6:00:00,0.8,1.7,43,57
325,3/24/04,7:00:00,1.2,4.8,79,75
326,3/24/04,8:00:00,3.1,13.8,174,97
327,3/24/04,9:00:00,4.4,23.7,235,110
328,3/24/04,10:00:00,3.4,14.2,218,113
329,3/24/04,11:00:00,1.7,8.0,136,88
330,3/24/04,12:00:00,1.5,6.7,117,85
331,3/24/04,13:00:00,1.7,8.7,119,96
332,3/24/04,14:00:00,2.2,10.8,126,106
333,3/24/04,15:00:00,-200.0,6.7,100,91
334,3/24/04,16:00:00,2.7,11.4,197,126
335,3/24/04,17:00:00,2.8,13.4,195,130
336,3/24/04,18:00:00,2.7,12.0,156,111
337,3/24/04,19:00:00,4.5,20.2,247,134
338,3/24/04,20:00:00,3.5,14.4,190,136
339,3/24/04,21:00:00,2.6,9.4,169,125
340,3/24/04,22:00:00,1.7,5.9,118,108
341,3/24/04,23:00:00,1.3,4.5,81,87
342,3/25/04,0:00:00,1.3,4.5,80,89
343,3/25/04,1:00:00,1.0,2.5,42,58
344,3/25/04,2:00:00,0.7,1.8,38,54
345,3/25/04,3:00:00,0.7,1.4,-200,-200
346,3/25/04,4:00:00,0.5,0.9,18,28
347,3/25/04,5:00:00,0.5,0.6,12,20
348,3/25/04,6:00:00,0.6,1.4,43,51
349,3/25/04,7:00:00,1.1,3.8,84,82
350,3/25/04,8:00:00,2.7,11.6,184,112
351,3/25/04,9:00:00,3.5,17.8,202,119
352,3/25/04,10:00:00,2.3,8.8,133,99
353,3/25/04,11:00:00,1.6,6.8,130,98
354,3/25/04,12:00:00,1.3,5.9,106,88
355,3/25/04,13:00:00,2.0,8.9,132,96
356,3/25/04,14:00:00,1.9,8.2,106,81
357,3/25/04,15:00:00,1.9,8.6,125,92
358,3/25/04,16:00:00,2.2,10.1,138,105
359,3/25/04,17:00:00,2.0,9.4,120,88
360,3/25/04,18:00:00,2.9,14.6,158,103
361,3/25/04,19:00:00,5.2,24.6,253,141
362,3/25/04,20:00:00,4.6,21.6,231,133
363,3/25/04,21:00:00,2.5,10.3,150,119
364,3/25/04,22:00:00,1.5,5.7,99,106
365,3/25/04,23:00:00,1.2,4.5,75,92
366,3/26/04,0:00:00,1.7,5.5,93,97
367,3/26/04,1:00:00,1.4,4.8,79,91
368,3/26/04,2:00:00,1.2,3.6,67,83
369,3/26/04,3:00:00,0.6,1.7,-200,-200
370,3/26/04,4:00:00,0.7,2.2,45,59
371,3/26/04,5:00:00,0.8,3.0,72,73
372,3/26/04,6:00:00,0.9,4.0,103,78
373,3/26/04,7:00:00,1.6,6.7,132,90
374,3/26/04,8:00:00,3.4,16.7,239,110
375,3/26/04,9:00:00,3.8,19.3,275,114
376,3/26/04,10:00:00,3.1,14.8,232,119
377,3/26/04,11:00:00,2.7,13.4,180,121
378,3/26/04,12:00:00,2.0,11.0,112,97
379,3/26/04,13:00:00,2.3,12.5,116,99
380,3/26/04,14:00:00,1.9,8.4,103,85
381,3/26/04,15:00:00,1.3,5.3,89,75
382,3/26/04,16:00:00,1.9,8.8,112,87
383,3/26/04,17:00:00,2.3,11.2,127,102
384,3/26/04,18:00:00,2.4,11.6,125,105
385,3/26/04,19:00:00,2.7,12.4,120,98
386,3/26/04,20:00:00,2.6,10.6,120,93
387,3/26/04,21:00:00,1.5,6.0,99,91
388,3/26/04,22:00:00,1.2,4.6,79,85
389,3/26/04,23:00:00,1.1,4.1,66,74
390,3/27/04,0:00:00,1.5,5.2,94,87
391,3/27/04,1:00:00,1.0,3.2,70,79
392,3/27/04,2:00:00,1.2,4.5,75,78
393,3/27/04,3:00:00,1.1,3.8,-200,-200
394,3/27/04,4:00:00,-200.0,3.8,57,63
395,3/27/04,5:00:00,0.8,1.9,32,48
396,3/27/04,6:00:00,0.9,2.4,54,59
397,3/27/04,7:00:00,1.1,3.3,68,65
398,3/27/04,8:00:00,1.5,6.7,98,71
399,3/27/04,9:00:00,1.8,8.5,128,84
400,3/27/04,10:00:00,2.1,9.7,129,93
401,3/27/04,11:00:00,2.1,9.4,130,99
402,3/27/04,12:00:00,1.9,9.0,111,93
403,3/27/04,13:00:00,2.1,10.0,106,96
404,3/27/04,14:00:00,2.5,12.6,137,114
405,3/27/04,15:00:00,1.9,7.6,113,101
406,3/27/04,16:00:00,2.2,11.8,122,108
407,3/27/04,17:00:00,2.3,11.2,137,117
408,3/27/04,18:00:00,2.7,12.4,165,125
409,3/27/04,19:00:00,3.0,12.9,196,133
410,3/27/04,20:00:00,2.8,12.2,174,119
411,3/27/04,21:00:00,2.2,8.8,140,107
412,3/27/04,22:00:00,1.6,6.8,102,96
413,3/27/04,23:00:00,2.1,8.6,130,105
414,3/28/04,0:00:00,2.3,8.9,121,102
415,3/28/04,1:00:00,2.3,8.3,111,97
416,3/28/04,2:00:00,1.7,6.3,87,79
417,3/28/04,3:00:00,2.2,8.3,-200,-200
418,3/28/04,4:00:00,1.3,5.1,77,69
419,3/28/04,5:00:00,0.8,2.6,39,52
420,3/28/04,6:00:00,1.1,3.6,77,62
421,3/28/04,7:00:00,1.4,3.6,91,69
422,3/28/04,8:00:00,1.3,4.7,105,75
423,3/28/04,9:00:00,1.9,7.5,133,83
424,3/28/04,10:00:00,2.3,9.0,128,94
425,3/28/04,11:00:00,2.3,9.5,126,96
426,3/28/04,12:00:00,1.8,7.7,92,86
427,3/28/04,13:00:00,1.4,5.7,66,72
428,3/28/04,14:00:00,1.0,3.8,50,53
429,3/28/04,15:00:00,1.4,4.8,70,65
430,3/28/04,16:00:00,1.3,4.3,73,70
431,3/28/04,17:00:00,1.3,4.1,77,75
432,3/28/04,18:00:00,1.4,4.7,86,86
433,3/28/04,19:00:00,1.9,6.2,93,94
434,3/28/04,20:00:00,1.8,5.5,105,103
435,3/28/04,21:00:00,1.1,3.3,67,81
436,3/28/04,22:00:00,1.1,3.2,63,80
437,3/28/04,23:00:00,1.1,2.9,63,77
438,3/29/04,0:00:00,0.9,2.2,46,58
439,3/29/04,1:00:00,0.6,1.3,21,31
440,3/29/04,2:00:00,0.5,1.1,22,38
441,3/29/04,3:00:00,0.7,1.3,-200,-200
442,3/29/04,4:00:00,0.6,1.2,39,59
443,3/29/04,5:00:00,0.7,1.7,55,70
444,3/29/04,6:00:00,0.9,2.9,76,75
445,3/29/04,7:00:00,2.9,14.3,181,103
446,3/29/04,8:00:00,4.1,19.7,259,134
447,3/29/04,9:00:00,1.5,5.5,118,98
448,3/29/04,10:00:00,1.5,5.6,119,97
449,3/29/04,11:00:00,1.5,5.8,123,98
450,3/29/04,12:00:00,1.4,5.5,92,78
451,3/29/04,13:00:00,1.6,6.5,91,83
452,3/29/04,14:00:00,1.5,5.5,103,92
453,3/29/04,15:00:00,1.4,5.2,102,81
454,3/29/04,16:00:00,1.5,5.8,94,90
455,3/29/04,17:00:00,1.9,7.9,98,95
456,3/29/04,18:00:00,2.5,10.2,126,114
457,3/29/04,19:00:00,2.1,8.2,108,106
458,3/29/04,20:00:00,1.6,5.7,95,99
459,3/29/04,21:00:00,1.2,3.8,78,90
460,3/29/04,22:00:00,1.1,4.0,61,82
461,3/29/04,23:00:00,1.0,2.8,55,74
462,3/30/04,0:00:00,1.0,2.6,57,76
463,3/30/04,1:00:00,0.7,1.8,41,66
464,3/30/04,2:00:00,0.7,1.7,46,73
465,3/30/04,3:00:00,0.8,1.4,-200,-200
466,3/30/04,4:00:00,-200.0,1.3,41,69
467,3/30/04,5:00:00,0.7,2.3,52,71
468,3/30/04,6:00:00,1.1,5.3,111,98
469,3/30/04,7:00:00,2.6,13.4,191,115
470,3/30/04,8:00:00,4.0,23.8,244,130
471,3/30/04,9:00:00,4.2,21.5,283,150
472,3/30/04,10:00:00,4.7,21.0,320,159
473,3/30/04,11:00:00,3.9,18.4,249,146
474,3/30/04,12:00:00,3.7,18.9,219,138
475,3/30/04,13:00:00,3.4,17.1,200,128
476,3/30/04,14:00:00,2.2,10.4,138,97
477,3/30/04,15:00:00,1.9,8.0,118,91
478,3/30/04,16:00:00,1.6,6.2,99,81
479,3/30/04,17:00:00,2.1,9.7,112,99
480,3/30/04,18:00:00,2.2,9.6,117,101
481,3/30/04,19:00:00,2.7,11.9,129,106
482,3/30/04,20:00:00,2.4,8.7,132,102
483,3/30/04,21:00:00,1.3,4.7,73,84
484,3/30/04,22:00:00,1.2,3.8,68,81
485,3/30/04,23:00:00,1.5,4.7,80,91
486,3/31/04,0:00:00,1.3,3.8,68,82
487,3/31/04,1:00:00,1.0,2.7,44,64
488,3/31/04,2:00:00,0.9,2.8,47,70
489,3/31/04,3:00:00,0.5,1.0,-200,-200
490,3/31/04,4:00:00,0.5,0.8,15,26
491,3/31/04,5:00:00,0.6,1.5,44,58
492,3/31/04,6:00:00,1.0,3.5,85,93
493,3/31/04,7:00:00,3.1,15.6,207,110
494,3/31/04,8:00:00,4.1,19.9,230,115
495,3/31/04,9:00:00,2.2,8.6,181,125
496,3/31/04,10:00:00,1.7,6.5,144,118
497,3/31/04,11:00:00,1.9,7.7,140,109
498,3/31/04,12:00:00,2.9,11.3,204,123
499,3/31/04,13:00:00,2.2,9.1,149,114
500,3/31/04,14:00:00,2.6,11.2,171,114
501,3/31/04,15:00:00,3.1,13.5,195,119
502,3/31/04,16:00:00,2.3,10.1,152,111
503,3/31/04,17:00:00,2.4,11.3,128,103
504,3/31/04,18:00:00,2.8,11.8,121,103
505,3/31/04,19:00:00,2.7,11.5,142,107
506,3/31/04,20:00:00,2.3,9.3,131,105
507,3/31/04,21:00:00,1.5,5.5,81,91
508,3/31/04,22:00:00,1.4,5.1,60,79
509,3/31/04,23:00:00,1.2,4.8,57,79
510,4/1/04,0:00:00,1.6,6.3,96,86
511,4/1/04,1:00:00,1.2,5.1,85,70
512,4/1/04,2:00:00,1.1,4.1,50,55
513,4/1/04,3:00:00,0.9,4.0,-200,-200
514,4/1/04,4:00:00,0.7,2.4,57,49
515,4/1/04,5:00:00,0.9,2.9,64,50
516,4/1/04,6:00:00,1.7,7.4,153,67
517,4/1/04,7:00:00,4.2,19.8,342,94
518,4/1/04,8:00:00,6.2,31.9,378,119
519,4/1/04,9:00:00,4.6,21.0,304,139
520,4/1/04,10:00:00,2.8,11.7,192,113
521,4/1/04,11:00:00,1.6,6.8,130,88
522,4/1/04,12:00:00,1.7,7.4,106,73
523,4/1/04,13:00:00,1.7,8.6,102,73
524,4/1/04,14:00:00,1.7,-200.0,99,72
525,4/1/04,15:00:00,1.9,-200.0,108,81
526,4/1/04,16:00:00,2.3,-200.0,131,93
527,4/1/04,17:00:00,3.3,16.4,163,106
528,4/1/04,18:00:00,4.2,21.2,211,132
529,4/1/04,19:00:00,5.5,25.0,267,164
530,4/1/04,20:00:00,4.9,20.2,269,161
531,4/1/04,21:00:00,2.5,10.8,154,124
532,4/1/04,22:00:00,2.0,9.9,127,113
